Status_Conta_Corrente;Duracao_Mes;Proposito;Valor_Credito;Conta_Poupanca;Tempo_Emprego_Atual;Taxa_Parcelamento;Residencia_Atual_Desde;Idade;Moradia;N_Creditos_Existentes;Trabalho;N_Pessoas_Sustento;Telefone;Trabalhador_Estrangeiro;Risco;Faixa_Etaria
Sem conta;6;Móveis/Equipamento;1766;< 100 DM;1  a 4 anos;1;2;21;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;18;Móveis/Equipamento;2473;< 100 DM;Desempregado;4;1;25;Própria;1;Desempregado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;12;Negócios;1542;< 100 DM;4 a 7 anos;2;4;36;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
Sem conta;18;Carro Usado;3850;< 100 DM;4 a 7 anos;3;1;27;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;18;Móveis/Equipamento;3650;< 100 DM;< 1 ano;1;4;22;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;36;Móveis/Equipamento;3446;< 100 DM;>= 7 anos;4;2;42;Própria;1;Qualificado;2;Sim;Sim;Ruim;41-50 anos
0 a 200 DM;18;Móveis/Equipamento;3001;< 100 DM;4 a 7 anos;2;4;40;Aluguel;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;36;Carro Novo;3079;Sem conta;1  a 4 anos;4;4;36;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;18;Rádio/TV;6070;< 100 DM;>= 7 anos;3;4;33;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
Sem conta;10;Móveis/Equipamento;2146;< 100 DM;< 1 ano;1;3;23;Aluguel;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;60;Carro Novo;13756;Sem conta;>= 7 anos;2;4;63;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;60+ anos
0 a 200 DM;60;Outros;14782;100 a 500 DM;>= 7 anos;3;4;60;Favor;2;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;51-60 anos
< 0 DM;48;Negócios;7685;< 100 DM;4 a 7 anos;2;4;37;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
Sem conta;18;Rádio/TV;2320;< 100 DM;Desempregado;2;3;34;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;7;Rádio/TV;846;Sem conta;>= 7 anos;3;4;36;Favor;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;36;Carro Novo;14318;< 100 DM;>= 7 anos;4;2;57;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;51-60 anos
Sem conta;6;Carro Novo;362;100 a 500 DM;1  a 4 anos;4;4;52;Própria;2;Informal;1;Sim;Sim;Bom;51-60 anos
< 0 DM;20;Móveis/Equipamento;2212;Sem conta;4 a 7 anos;4;4;39;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;18;Carro Usado;12976;< 100 DM;Desempregado;3;4;38;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;31-40 anos
Sem conta;22;Carro Novo;1283;Sem conta;4 a 7 anos;4;4;25;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
>= 200 DM;12;Carro Novo;1330;< 100 DM;< 1 ano;4;1;26;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;30;Negócios;4272;100 a 500 DM;1  a 4 anos;2;2;26;Própria;2;Informal;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Rádio/TV;2238;< 100 DM;1  a 4 anos;2;1;25;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Rádio/TV;1126;Sem conta;< 1 ano;4;2;21;Aluguel;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;18;Móveis/Equipamento;7374;< 100 DM;Desempregado;4;4;40;Própria;2;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;15;Negócios;2326;500 a 1000 DM;1  a 4 anos;2;4;27;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;9;Negócios;1449;< 100 DM;4 a 7 anos;3;2;27;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Carro Novo;1820;< 100 DM;1  a 4 anos;2;2;30;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;12;Móveis/Equipamento;983;>= 1000 DM;< 1 ano;1;4;19;Aluguel;1;Informal;1;Sim;Sim;Bom;18-30 anos
< 0 DM;36;Carro Novo;3249;< 100 DM;4 a 7 anos;2;4;39;Favor;1;Autônomo/Gerência/Oficial;2;Não;Sim;Bom;31-40 anos
< 0 DM;6;Rádio/TV;1957;< 100 DM;4 a 7 anos;1;4;31;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;9;Móveis/Equipamento;2406;< 100 DM;Desempregado;2;3;31;Própria;1;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;39;Educação;11760;100 a 500 DM;4 a 7 anos;2;3;32;Aluguel;1;Qualificado;1;Não;Sim;Bom;31-40 anos
< 0 DM;12;Móveis/Equipamento;2578;< 100 DM;Desempregado;3;4;55;Favor;1;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;51-60 anos
< 0 DM;36;Móveis/Equipamento;2348;< 100 DM;1  a 4 anos;3;2;46;Própria;2;Qualificado;1;Não;Sim;Bom;41-50 anos
0 a 200 DM;12;Carro Novo;1223;< 100 DM;>= 7 anos;1;1;46;Aluguel;2;Qualificado;1;Sim;Sim;Ruim;41-50 anos
Sem conta;24;Rádio/TV;1516;>= 1000 DM;1  a 4 anos;4;1;43;Própria;2;Informal;1;Sim;Sim;Bom;41-50 anos
Sem conta;18;Rádio/TV;1473;< 100 DM;< 1 ano;3;4;39;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;18;Negócios;1887;Sem conta;1  a 4 anos;4;4;28;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;24;Negócios;8648;< 100 DM;< 1 ano;2;2;27;Própria;2;Qualificado;1;Não;Sim;Ruim;18-30 anos
Sem conta;14;Carro Novo;802;< 100 DM;1  a 4 anos;4;2;27;Própria;2;Informal;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;18;Carro Novo;2899;Sem conta;>= 7 anos;4;4;43;Própria;1;Qualificado;2;Sim;Sim;Bom;41-50 anos
0 a 200 DM;24;Rádio/TV;2039;< 100 DM;< 1 ano;1;1;22;Própria;1;Qualificado;1;Não;Sim;Ruim;18-30 anos
Sem conta;24;Carro Usado;2197;Sem conta;4 a 7 anos;4;4;43;Própria;2;Qualificado;2;Não;Sim;Bom;41-50 anos
< 0 DM;15;Rádio/TV;1053;< 100 DM;< 1 ano;4;2;27;Própria;1;Qualificado;1;Sim;Não;Bom;18-30 anos
Sem conta;24;Rádio/TV;3235;500 a 1000 DM;>= 7 anos;3;2;26;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;18-30 anos
>= 200 DM;12;Carro Novo;939;500 a 1000 DM;4 a 7 anos;4;2;28;Própria;3;Qualificado;1;Não;Sim;Ruim;18-30 anos
0 a 200 DM;24;Rádio/TV;1967;< 100 DM;>= 7 anos;4;4;20;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;33;Carro Usado;7253;< 100 DM;4 a 7 anos;3;2;35;Própria;2;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
Sem conta;12;Negócios;2292;< 100 DM;Desempregado;4;2;42;Própria;2;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;41-50 anos
Sem conta;10;Carro Novo;1597;500 a 1000 DM;1  a 4 anos;3;2;40;Aluguel;1;Informal;2;Sim;Não;Bom;31-40 anos
< 0 DM;24;Carro Novo;1381;Sem conta;1  a 4 anos;4;2;35;Própria;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
Sem conta;36;Carro Usado;5842;< 100 DM;>= 7 anos;2;2;35;Própria;2;Qualificado;2;Não;Sim;Bom;31-40 anos
< 0 DM;12;Carro Novo;2579;< 100 DM;< 1 ano;4;1;33;Própria;1;Informal;2;Sim;Sim;Ruim;31-40 anos
< 0 DM;18;Educação;8471;Sem conta;1  a 4 anos;1;2;23;Aluguel;2;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;21;Carro Novo;2782;500 a 1000 DM;4 a 7 anos;1;2;31;Própria;1;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;18;Carro Novo;1042;Sem conta;1  a 4 anos;4;2;33;Própria;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
Sem conta;15;Carro Novo;3186;>= 1000 DM;4 a 7 anos;2;3;20;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;12;Carro Usado;2028;Sem conta;1  a 4 anos;4;2;30;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;12;Carro Novo;958;< 100 DM;4 a 7 anos;2;3;47;Própria;2;Informal;2;Sim;Sim;Bom;41-50 anos
Sem conta;21;Móveis/Equipamento;1591;100 a 500 DM;4 a 7 anos;4;3;34;Própria;2;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;12;Móveis/Equipamento;2762;Sem conta;>= 7 anos;1;2;25;Própria;1;Qualificado;1;Não;Sim;Ruim;18-30 anos
0 a 200 DM;18;Carro Usado;2779;< 100 DM;1  a 4 anos;1;3;21;Aluguel;1;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;28;Rádio/TV;2743;< 100 DM;>= 7 anos;4;2;29;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Rádio/TV;1149;>= 1000 DM;1  a 4 anos;4;3;46;Própria;2;Qualificado;1;Sim;Sim;Bom;41-50 anos
Sem conta;9;Móveis/Equipamento;1313;< 100 DM;>= 7 anos;1;4;20;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;18;Reparos;1190;< 100 DM;Desempregado;2;4;55;Favor;3;Desempregado;2;Sim;Sim;Ruim;51-60 anos
Sem conta;5;Negócios;3448;< 100 DM;4 a 7 anos;1;4;74;Própria;1;Informal;1;Sim;Sim;Bom;60+ anos
0 a 200 DM;24;Outros;11328;< 100 DM;1  a 4 anos;2;3;29;Própria;2;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;18-30 anos
< 0 DM;6;Móveis/Equipamento;1872;< 100 DM;Desempregado;4;4;36;Favor;3;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
Sem conta;24;Reparos;2058;< 100 DM;1  a 4 anos;4;2;33;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
< 0 DM;9;Móveis/Equipamento;2136;< 100 DM;1  a 4 anos;3;2;25;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;12;Rádio/TV;1484;Sem conta;1  a 4 anos;2;1;25;Própria;1;Qualificado;1;Não;Sim;Ruim;18-30 anos
Sem conta;6;Reparos;660;500 a 1000 DM;4 a 7 anos;2;4;23;Aluguel;1;Informal;1;Sim;Sim;Bom;18-30 anos
Sem conta;24;Carro Novo;1287;>= 1000 DM;>= 7 anos;4;4;37;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
< 0 DM;42;Reparos;3394;< 100 DM;Desempregado;4;4;65;Própria;2;Desempregado;1;Sim;Sim;Bom;60+ anos
>= 200 DM;12;Negócios;609;< 100 DM;< 1 ano;4;1;26;Própria;1;Desempregado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;12;Carro Novo;1884;< 100 DM;>= 7 anos;4;4;39;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
< 0 DM;12;Móveis/Equipamento;1620;< 100 DM;1  a 4 anos;2;3;30;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;20;Outros;2629;< 100 DM;1  a 4 anos;2;3;29;Própria;2;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;12;Educação;719;< 100 DM;>= 7 anos;4;4;41;Própria;1;Informal;2;Sim;Sim;Ruim;41-50 anos
0 a 200 DM;48;Móveis/Equipamento;5096;< 100 DM;1  a 4 anos;2;3;30;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;18-30 anos
Sem conta;9;Educação;1244;Sem conta;>= 7 anos;4;4;41;Aluguel;2;Informal;1;Sim;Sim;Bom;41-50 anos
< 0 DM;36;Carro Novo;1842;< 100 DM;< 1 ano;4;4;34;Própria;1;Qualificado;1;Não;Sim;Ruim;31-40 anos
0 a 200 DM;7;Rádio/TV;2576;< 100 DM;1  a 4 anos;2;2;35;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
>= 200 DM;12;Móveis/Equipamento;1424;Sem conta;>= 7 anos;3;4;55;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;51-60 anos
0 a 200 DM;15;Reparos;1512;>= 1000 DM;1  a 4 anos;3;3;61;Própria;2;Qualificado;1;Sim;Sim;Ruim;60+ anos
Sem conta;36;Carro Usado;11054;Sem conta;1  a 4 anos;4;2;30;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;18-30 anos
Sem conta;6;Rádio/TV;518;< 100 DM;1  a 4 anos;3;1;29;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;12;Móveis/Equipamento;2759;< 100 DM;>= 7 anos;2;4;34;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;24;Carro Usado;2670;< 100 DM;>= 7 anos;4;4;35;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
< 0 DM;24;Carro Novo;4817;< 100 DM;4 a 7 anos;2;3;31;Própria;1;Qualificado;1;Não;Sim;Ruim;31-40 anos
Sem conta;24;Carro Usado;2679;< 100 DM;< 1 ano;4;1;29;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;18-30 anos
< 0 DM;11;Carro Novo;3905;< 100 DM;1  a 4 anos;2;2;36;Aluguel;2;Qualificado;2;Sim;Sim;Bom;31-40 anos
< 0 DM;12;Carro Usado;3386;< 100 DM;>= 7 anos;3;4;35;Favor;1;Qualificado;1;Não;Sim;Ruim;31-40 anos
< 0 DM;6;Eletrodomésticos;343;< 100 DM;< 1 ano;4;1;27;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Rádio/TV;4594;< 100 DM;< 1 ano;3;2;32;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
< 0 DM;36;Móveis/Equipamento;3620;< 100 DM;1  a 4 anos;1;2;37;Própria;1;Qualificado;2;Sim;Sim;Bom;31-40 anos
< 0 DM;15;Carro Novo;1721;< 100 DM;< 1 ano;2;3;36;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;12;Móveis/Equipamento;3017;< 100 DM;< 1 ano;3;1;34;Aluguel;1;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;12;Retreinamento;754;Sem conta;>= 7 anos;4;4;38;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;18;Negócios;1950;< 100 DM;4 a 7 anos;4;1;34;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
< 0 DM;24;Carro Usado;2924;< 100 DM;1  a 4 anos;3;4;63;Própria;1;Qualificado;2;Não;Sim;Bom;60+ anos
< 0 DM;24;Rádio/TV;1659;< 100 DM;< 1 ano;4;2;29;Aluguel;1;Informal;1;Não;Sim;Ruim;18-30 anos
Sem conta;48;Rádio/TV;7238;Sem conta;>= 7 anos;3;3;32;Própria;2;Qualificado;2;Sim;Sim;Bom;31-40 anos
Sem conta;33;Negócios;2764;< 100 DM;1  a 4 anos;2;2;26;Própria;2;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;24;Carro Usado;4679;< 100 DM;4 a 7 anos;3;3;35;Própria;2;Informal;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;24;Rádio/TV;3092;100 a 500 DM;< 1 ano;3;2;22;Aluguel;1;Qualificado;1;Não;Sim;Ruim;18-30 anos
< 0 DM;6;Educação;448;< 100 DM;< 1 ano;4;4;23;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;9;Carro Novo;654;< 100 DM;1  a 4 anos;4;3;28;Própria;1;Informal;1;Sim;Sim;Ruim;18-30 anos
Sem conta;6;Retreinamento;1238;Sem conta;Desempregado;4;4;36;Própria;1;Autônomo/Gerência/Oficial;2;Não;Sim;Bom;31-40 anos
0 a 200 DM;18;Rádio/TV;1245;< 100 DM;1  a 4 anos;4;2;33;Própria;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
< 0 DM;18;Móveis/Equipamento;3114;< 100 DM;< 1 ano;1;4;26;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;39;Carro Usado;2569;500 a 1000 DM;1  a 4 anos;4;4;24;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
>= 200 DM;24;Rádio/TV;5152;< 100 DM;4 a 7 anos;4;2;25;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;12;Negócios;1037;100 a 500 DM;4 a 7 anos;3;4;39;Própria;1;Informal;1;Sim;Sim;Bom;31-40 anos
< 0 DM;15;Móveis/Equipamento;1478;< 100 DM;>= 7 anos;4;4;44;Própria;2;Qualificado;2;Não;Sim;Bom;41-50 anos
0 a 200 DM;12;Rádio/TV;3573;< 100 DM;1  a 4 anos;1;1;23;Própria;1;Informal;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;24;Carro Novo;1201;< 100 DM;< 1 ano;4;1;26;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;30;Móveis/Equipamento;3622;>= 1000 DM;>= 7 anos;4;4;57;Aluguel;2;Qualificado;1;Não;Sim;Bom;51-60 anos
Sem conta;15;Móveis/Equipamento;960;>= 1000 DM;4 a 7 anos;3;2;30;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;12;Carro Novo;1163;500 a 1000 DM;1  a 4 anos;4;4;44;Própria;1;Qualificado;1;Não;Sim;Bom;41-50 anos
0 a 200 DM;6;Carro Novo;1209;< 100 DM;Desempregado;4;4;47;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;41-50 anos
Sem conta;12;Rádio/TV;3077;< 100 DM;1  a 4 anos;2;4;52;Própria;1;Qualificado;1;Não;Sim;Bom;51-60 anos
Sem conta;24;Carro Novo;3757;< 100 DM;>= 7 anos;4;4;62;Favor;1;Qualificado;1;Não;Sim;Bom;60+ anos
Sem conta;10;Carro Novo;1418;100 a 500 DM;1  a 4 anos;3;2;35;Aluguel;1;Informal;1;Sim;Não;Bom;31-40 anos
Sem conta;6;Carro Novo;3518;< 100 DM;1  a 4 anos;2;3;26;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;12;Rádio/TV;1934;< 100 DM;>= 7 anos;2;2;26;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;27;Negócios;8318;< 100 DM;>= 7 anos;2;4;42;Favor;2;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;41-50 anos
Sem conta;6;Rádio/TV;1237;100 a 500 DM;1  a 4 anos;1;1;27;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;6;Rádio/TV;368;Sem conta;>= 7 anos;4;4;38;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
< 0 DM;12;Carro Novo;2122;< 100 DM;1  a 4 anos;3;2;39;Aluguel;2;Informal;2;Sim;Não;Bom;31-40 anos
< 0 DM;24;Móveis/Equipamento;2996;Sem conta;1  a 4 anos;2;4;20;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;36;Móveis/Equipamento;9034;100 a 500 DM;< 1 ano;4;1;29;Aluguel;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;18-30 anos
Sem conta;24;Móveis/Equipamento;1585;< 100 DM;4 a 7 anos;4;3;40;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;18;Rádio/TV;1301;< 100 DM;>= 7 anos;4;2;32;Própria;1;Informal;1;Sim;Sim;Bom;31-40 anos
>= 200 DM;6;Carro Novo;1323;100 a 500 DM;>= 7 anos;2;4;28;Própria;2;Qualificado;2;Não;Sim;Bom;18-30 anos
< 0 DM;24;Carro Novo;3123;< 100 DM;< 1 ano;4;1;27;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;36;Carro Usado;5493;< 100 DM;>= 7 anos;2;4;42;Favor;1;Qualificado;2;Sim;Sim;Bom;41-50 anos
>= 200 DM;9;Rádio/TV;1126;100 a 500 DM;>= 7 anos;2;4;49;Própria;1;Qualificado;1;Sim;Sim;Bom;41-50 anos
0 a 200 DM;24;Rádio/TV;1216;100 a 500 DM;< 1 ano;4;4;38;Própria;2;Qualificado;2;Sim;Sim;Ruim;31-40 anos
< 0 DM;24;Carro Novo;1207;< 100 DM;< 1 ano;4;4;24;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;10;Carro Novo;1309;Sem conta;1  a 4 anos;4;4;27;Própria;1;Informal;1;Sim;Sim;Ruim;18-30 anos
>= 200 DM;15;Carro Usado;2360;500 a 1000 DM;1  a 4 anos;2;2;36;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;15;Carro Novo;6850;100 a 500 DM;Desempregado;1;2;34;Própria;1;Autônomo/Gerência/Oficial;2;Não;Sim;Ruim;31-40 anos
Sem conta;24;Rádio/TV;1413;< 100 DM;1  a 4 anos;4;2;28;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;39;Carro Usado;8588;100 a 500 DM;>= 7 anos;4;2;45;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;41-50 anos
< 0 DM;12;Carro Novo;759;< 100 DM;4 a 7 anos;4;2;26;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;36;Carro Usado;4686;< 100 DM;1  a 4 anos;2;2;32;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
>= 200 DM;15;Negócios;2687;< 100 DM;4 a 7 anos;2;4;26;Aluguel;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;12;Rádio/TV;585;< 100 DM;1  a 4 anos;4;4;20;Aluguel;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;24;Carro Novo;2255;Sem conta;< 1 ano;4;1;54;Própria;1;Qualificado;1;Sim;Sim;Bom;51-60 anos
< 0 DM;6;Carro Novo;609;< 100 DM;4 a 7 anos;4;3;37;Própria;2;Qualificado;1;Sim;Não;Bom;31-40 anos
< 0 DM;6;Carro Novo;1361;< 100 DM;< 1 ano;2;4;40;Própria;1;Informal;2;Sim;Não;Bom;31-40 anos
Sem conta;36;Móveis/Equipamento;7127;< 100 DM;< 1 ano;2;4;23;Aluguel;2;Qualificado;1;Não;Sim;Ruim;18-30 anos
< 0 DM;6;Carro Novo;1203;100 a 500 DM;>= 7 anos;3;2;43;Própria;1;Qualificado;1;Não;Sim;Bom;41-50 anos
Sem conta;6;Rádio/TV;700;Sem conta;>= 7 anos;4;4;36;Favor;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;24;Reparos;5507;< 100 DM;>= 7 anos;3;4;44;Favor;2;Qualificado;1;Sim;Sim;Bom;41-50 anos
< 0 DM;18;Rádio/TV;3190;< 100 DM;1  a 4 anos;2;2;24;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;48;Móveis/Equipamento;7119;< 100 DM;1  a 4 anos;3;4;53;Favor;2;Qualificado;2;Sim;Sim;Ruim;51-60 anos
Sem conta;24;Carro Usado;3488;100 a 500 DM;4 a 7 anos;3;4;23;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;18;Rádio/TV;1113;< 100 DM;1  a 4 anos;4;4;26;Própria;1;Informal;2;Sim;Sim;Bom;18-30 anos
0 a 200 DM;26;Carro Usado;7966;< 100 DM;< 1 ano;2;3;30;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;15;Educação;1532;100 a 500 DM;1  a 4 anos;4;3;31;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;4;Rádio/TV;1503;< 100 DM;4 a 7 anos;2;1;42;Própria;2;Informal;2;Sim;Sim;Bom;41-50 anos
< 0 DM;36;Rádio/TV;2302;< 100 DM;1  a 4 anos;4;4;31;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
< 0 DM;6;Carro Novo;662;< 100 DM;< 1 ano;3;4;41;Própria;1;Informal;2;Não;Sim;Bom;41-50 anos
0 a 200 DM;36;Educação;2273;< 100 DM;4 a 7 anos;3;1;32;Própria;2;Qualificado;2;Sim;Sim;Bom;31-40 anos
0 a 200 DM;15;Carro Novo;2631;100 a 500 DM;1  a 4 anos;2;4;28;Aluguel;2;Qualificado;1;Não;Sim;Ruim;18-30 anos
Sem conta;12;Carro Usado;1503;< 100 DM;1  a 4 anos;4;4;41;Aluguel;1;Qualificado;1;Sim;Sim;Bom;41-50 anos
Sem conta;24;Rádio/TV;1311;100 a 500 DM;4 a 7 anos;4;3;26;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;24;Rádio/TV;3105;Sem conta;< 1 ano;4;2;25;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
>= 200 DM;21;Educação;2319;< 100 DM;< 1 ano;2;1;33;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
< 0 DM;6;Carro Novo;1374;Sem conta;Desempregado;4;3;75;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;60+ anos
0 a 200 DM;18;Móveis/Equipamento;3612;< 100 DM;>= 7 anos;3;4;37;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
< 0 DM;48;Carro Novo;7763;< 100 DM;>= 7 anos;4;4;42;Favor;1;Autônomo/Gerência/Oficial;1;Sim;Sim;Ruim;41-50 anos
>= 200 DM;18;Móveis/Equipamento;3049;< 100 DM;< 1 ano;1;1;45;Própria;1;Informal;1;Sim;Sim;Bom;41-50 anos
0 a 200 DM;12;Rádio/TV;1534;< 100 DM;< 1 ano;1;1;23;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;24;Carro Novo;2032;< 100 DM;>= 7 anos;4;4;60;Favor;2;Qualificado;1;Não;Sim;Bom;51-60 anos
< 0 DM;30;Móveis/Equipamento;6350;Sem conta;>= 7 anos;4;4;31;Própria;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
>= 200 DM;18;Móveis/Equipamento;2864;< 100 DM;1  a 4 anos;2;1;34;Própria;1;Informal;2;Sim;Sim;Ruim;31-40 anos
Sem conta;12;Carro Novo;1255;< 100 DM;>= 7 anos;4;4;61;Própria;2;Informal;1;Sim;Sim;Bom;60+ anos
